,CurrencyKey,DateKey,AverageRate,EndOfDayRate,Date
0,3,20101229,1.0,0.999800039992002,2010-12-29
1,3,20101230,1.0,1.00090081072966,2010-12-30
2,3,20101231,1.0,0.999600159936026,2010-12-31
3,3,20110101,1.0,1.0,2011-01-01
4,3,20110102,1.0,0.999600159936026,2011-01-02
5,3,20110103,1.0,1.00050025012506,2011-01-03
6,3,20110104,1.0,0.999500249875062,2011-01-04
7,3,20110105,1.0,1.000200040008,2011-01-05
8,3,20110106,1.0,0.999200639488409,2011-01-06
9,3,20110107,1.0,1.000200040008,2011-01-07
10,3,20110108,1.0,0.999600159936026,2011-01-08
11,3,20110109,1.0,1.00090081072966,2011-01-09
12,3,20110110,1.0,0.999600159936026,2011-01-10
13,3,20110111,1.0,1.00080064051241,2011-01-11
14,3,20110112,1.0,0.99930048965724,2011-01-12
15,3,20110113,1.0,1.001001001001,2011-01-13
16,3,20110114,1.0,0.99930048965724,2011-01-14
17,3,20110115,1.0,1.00090081072966,2011-01-15
18,3,20110116,1.0,0.999900009999,2011-01-16
19,3,20110117,1.0,1.00070049034324,2011-01-17
20,3,20110118,1.0,0.999600159936026,2011-01-18
21,3,20110119,1.0,1.00050025012506,2011-01-19
22,3,20110120,1.0,0.999600159936026,2011-01-20
23,3,20110121,1.0,1.001001001001,2011-01-21
24,3,20110122,1.0,1.0,2011-01-22
25,3,20110123,1.00040016006403,1.00110121133247,2011-01-23
26,3,20110124,1.00040016006403,1.00030009002701,2011-01-24
27,3,20110125,1.00040016006403,1.00070049034324,2011-01-25
28,3,20110126,1.00040016006403,0.999800039992002,2011-01-26
29,3,20110127,1.00040016006403,1.001001001001,2011-01-27
30,3,20110128,1.00040016006403,0.999900009999,2011-01-28
31,3,20110129,1.00040016006403,1.00110121133247,2011-01-29
32,3,20110130,1.00040016006403,0.999600159936026,2011-01-30
33,3,20110131,1.00040016006403,1.001001001001,2011-01-31
34,3,20110201,1.00040016006403,1.00030009002701,2011-02-01
35,3,20110202,1.00040016006403,1.00090081072966,2011-02-02
36,3,20110203,1.00040016006403,0.999600159936026,2011-02-03
37,3,20110204,1.00040016006403,1.00090081072966,2011-02-04
38,3,20110205,1.00040016006403,1.0,2011-02-05
39,3,20110206,1.00040016006403,1.00070049034324,2011-02-06
40,3,20110207,1.00040016006403,0.999600159936026,2011-02-07
41,3,20110208,1.00040016006403,1.00090081072966,2011-02-08
42,3,20110209,1.00040016006403,0.999700089973008,2011-02-09
43,3,20110210,1.00040016006403,1.00050025012506,2011-02-10
44,3,20110211,1.000100010001,1.000100010001,2011-02-11
45,3,20110212,1.000200040008,1.001001001001,2011-02-12
46,3,20110213,1.000100010001,0.999700089973008,2011-02-13
47,3,20110214,1.000100010001,1.000200040008,2011-02-14
48,3,20110215,1.000100010001,0.999500249875062,2011-02-15
49,3,20110216,1.000100010001,1.001001001001,2011-02-16
50,3,20110217,1.000100010001,0.999900009999,2011-02-17
51,3,20110218,1.000100010001,1.00070049034324,2011-02-18
52,3,20110219,1.000100010001,1.0,2011-02-19
53,3,20110220,1.000100010001,1.000100010001,2011-02-20
